Action	Utilisateur	Nom	Condition	Exceptions
Autoriser	Tout le monde	C:: MICROSOFT MALWARE PROTECTION sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: OUTIL DE SUPPRESSION DE LOGICIELS MALVEILLANTS MICROSOFT WINDOWS sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: TRAYMENUMANAGER sign¨¦ par O=ALAIN MICHEL VERW¨¦E, L=FONTAINE-L'¨¦V¨ºQUE, S=HAINAUT, C=BE	¨¦diteur	
Autoriser	Tout le monde	C:: %OSDRIVE%\WAMP64\BIN\PHP\PHP8.1.31\*	Chemin d¡¯acc¨¨s	
Autoriser	Tout le monde	C:: %OSDRIVE%\WAMP\*	Chemin d¡¯acc¨¨s	
Autoriser	Tout le monde	C:: AETRAYMENU sign¨¦ par O=ALAIN MICHEL VERW¨¦E, L=FONTAINE-L'¨¦V¨ºQUE, S=HAINAUT, C=BE	¨¦diteur	
Autoriser	Tout le monde	C:: %OSDRIVE%\USERS\PUBLIC\*	Chemin d¡¯acc¨¨s	
Autoriser	Tout le monde	C:: %OSDRIVE%\USERS\I241001\SOURCE\REPOS\TETRIS_GAME_INSTALLER-X64\TETRIS_GAME_INSTALLER-X64\DEBUG\*	Chemin d¡¯acc¨¨s	
Autoriser	Tout le monde	C:: %OSDRIVE%\USERS\I241001\SOURCE\REPOS\TEHTRISSHELLNOARGS\TEHTRISSHELLNOARGS\OBJ\DEBUG\NET8.0\*	Chemin d¡¯acc¨¨s	
Autoriser	Tout le monde	C:: %OSDRIVE%\USERS\I241001\SOURCE\REPOS\TEHTRISSHELLNOARGS\TEHTRISSHELLNOARGS\BIN\DEBUG\NET8.0\*	Chemin d¡¯acc¨¨s	
Autoriser	Tout le monde	C:: %OSDRIVE%\USERS\I241001\SOURCE\REPOS\REGISTRYWRITE\REGISTRYWRITE\OBJ\DEBUG\NET8.0\*	Chemin d¡¯acc¨¨s	
Autoriser	Tout le monde	C:: %OSDRIVE%\USERS\I241001\SOURCE\REPOS\REGISTRYWRITE\REGISTRYWRITE\BIN\DEBUG\NET8.0\*	Chemin d¡¯acc¨¨s	
Autoriser	Tout le monde	C:: %OSDRIVE%\USERS\I241001\SOURCE\REPOS\DOWNLOAD3\DOWNLOAD3\OBJ\DEBUG\NET8.0\*	Chemin d¡¯acc¨¨s	
Autoriser	Tout le monde	C:: %OSDRIVE%\USERS\I241001\SOURCE\REPOS\DOWNLOAD3\DOWNLOAD3\BIN\DEBUG\NET8.0\*	Chemin d¡¯acc¨¨s	
