Action	Utilisateur	Nom	Condition	Exceptions
Autoriser	Tout le monde	C:: WINDOWS LIVE signé par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Éditeur	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\WOW64_MICROSOFT-WINDOWS-IIS-SHAREDLIBRARIES_31BF3856AD364E35_10.0.10240.16384_NONE_233E8EC583E063EB\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\WOW64_MICROSOFT-WINDOWS-IIS-LEGACYSNAPIN_31BF3856AD364E35_10.0.10240.16384_NONE_9375F00881140A69\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\WOW64_MICROSOFT-WINDOWS-I..LLSHIELD-WOW64-MAIN_31BF3856AD364E35_10.0.10240.16384_NONE_766D76092550CF8B\*	Chemin d’accès	
Autoriser	Tout le monde	C:: ADOBE FLASH PLAYER CONTROL PANEL APPLET signé par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Éditeur	
Autoriser	Tout le monde	C:: ADOBE® FLASH® PLAYER UTILITY signé par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Éditeur	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\MSIL_WSATCONFIG_B03F5F7F11D50A3A_10.0.10240.16384_NONE_D6E55DDB2C94E010\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\MSIL_SMSVCHOST_B03F5F7F11D50A3A_10.0.10240.16384_NONE_E0617A41C9855393\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\MSIL_SERVICEMODELREG_B03F5F7F11D50A3A_10.0.10240.16384_NONE_18D47032711A00F5\*	Chemin d’accès	
Autoriser	Tout le monde	C:: MICROSOFT (R) WINDOWS (R) OPERATING SYSTEM signé par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Éditeur	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\MSIL_INSPECTVHDDIALOG_31BF3856AD364E35_10.0.10240.16384_NONE_1E24434242A598CA\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\MSIL_INSPECTVHDDIALOG6.3_31BF3856AD364E35_10.0.10240.16384_NONE_CFD98823B9DBE9FF\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\MSIL_INSPECTVHDDIALOG6.2_31BF3856AD364E35_10.0.10240.16384_NONE_CFD887D9B9DCD0A8\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\MSIL_COMSVCCONFIG_B03F5F7F11D50A3A_10.0.10240.16384_NONE_B9902B0C49ADFB84\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\MSIL_C2WTSHOST_31BF3856AD364E35_10.0.10240.16384_NONE_C673B8281DA1DFCB\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_WCF-WSATCONFIG_B03F5F7F11D50A3A_10.0.10240.16384_NONE_D179BD77DC748340\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_WCF-SMSVCHOST_B03F5F7F11D50A3A_10.0.10240.16384_NONE_C1719FFFC38F01CD\*	Chemin d’accès	
